raceMinute,started,atMile0,atMile1,atMile2,atMile3,atMile4,atMile5,atMile6,atMile7,atMile8,atMile9,atMile10,atMile11,atMile12,atMile13,atMile14,atMile15,atMile16,atMile17,atMile18,atMile19,atMile20,atMile21,atMile22,atMile23,atMile24,atMile25,atMile26,atMile28,atMile29,atMile30,finished
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1290,1290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2580,2580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,3830,3820,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,5500,4850,650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,7160,5370,1790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,8790,5850,2930,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,9310,5360,3730,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,9810,4640,4370,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,10310,3450,4980,1870,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,10830,2610,5510,2580,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,11070,2150,5370,3060,480,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,11070,1630,4970,3540,920,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,11920,1930,4120,3990,1790,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,12750,2300,3220,4670,2310,240,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,13580,2690,2780,4830,2630,640,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,15570,4520,2320,4670,2950,1050,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,17560,6320,1920,4220,3170,1750,170,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,18710,6890,2010,3520,3770,2080,420,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,19870,7290,2210,3150,4090,2420,660,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,21020,7350,2980,2690,4230,2550,1080,130,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,21020,5920,4120,2280,4090,2730,1570,290,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,21020,4340,5450,2060,3650,3060,1880,530,40,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,21020,3140,6200,2060,3130,3530,2100,750,100,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,21020,2120,6580,2210,2880,3610,2350,1060,190,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,21020,1430,6420,2660,2520,3680,2460,1400,400,30,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
52,21020,900,5760,3520,2300,3570,2590,1730,560,40,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0
54,21020,670,4600,4560,2160,3230,2910,1880,850,100,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0
56,21020,490,3770,5090,2180,2940,3100,2160,970,180,30,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,10,0,0
58,21020,420,2870,5530,2230,2730,3240,2180,1300,320,40,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,20,0,0
60,21020,340,2150,5520,2630,2530,3170,2330,1610,400,80,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,30,0,0
62,21020,270,1610,5170,3270,2270,3110,2510,1710,550,130,30,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,60,10,0
64,21020,210,1230,4580,3830,2290,2930,2700,1890,610,240,40,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340,100,10,0
66,21020,200,960,4040,4270,2200,2770,2770,2020,780,330,50,30,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,410,160,20,0
68,21020,180,770,3350,4580,2300,2560,2890,2120,910,430,110,30,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,500,220,50,0
70,21020,150,680,2610,4690,2640,2410,2920,2230,970,500,190,40,20,0,0,0,0,0,0,0,0,0,0,0,10,0,0,590,290,80,0
72,21020,130,550,2100,4600,3030,2290,2810,2400,1010,570,300,30,20,10,0,0,0,0,0,0,0,0,0,0,20,10,0,720,320,100,0
74,21020,110,510,1630,4320,3360,2270,2680,2510,1100,660,360,80,20,20,0,0,0,0,0,0,0,0,0,0,40,10,0,800,390,150,0
76,21020,100,460,1240,4010,3680,2270,2640,2500,1060,820,440,140,30,20,0,0,0,0,0,0,0,0,0,0,60,10,0,830,470,240,0
78,21020,90,420,1050,3560,3850,2380,2380,2660,1190,870,480,230,30,20,10,0,0,0,0,0,0,0,0,0,90,10,10,850,560,280,0
80,21020,90,400,830,3030,3960,2560,2340,2700,1160,950,580,270,70,10,20,0,0,0,0,0,0,0,0,0,130,30,0,910,670,300,10
82,21020,70,370,700,2480,4150,2710,2300,2540,1160,1030,580,400,110,30,20,0,0,0,0,0,0,0,0,0,190,50,0,1030,740,350,10
84,21020,60,330,610,2160,3760,3110,2220,2550,1160,990,750,420,180,30,20,10,0,0,0,0,0,0,0,0,240,70,0,1110,830,400,10
86,21020,60,310,520,1750,3680,3290,2270,2440,1110,1030,840,450,250,50,10,20,0,0,0,0,0,0,0,0,280,80,0,1240,760,550,30
88,21020,60,230,530,1410,3460,3380,2330,2290,1030,1120,870,520,310,80,30,20,0,0,0,0,0,0,0,0,310,110,10,1430,810,630,50
90,21020,60,200,450,1150,3170,3410,2570,2210,1060,1080,910,550,370,140,30,20,10,0,0,0,0,0,0,0,330,200,10,1500,800,730,60
92,21020,60,180,430,980,2790,3630,2520,2250,1000,1120,860,710,400,200,30,10,20,0,0,0,0,0,0,0,390,230,20,1350,1020,740,80
94,21020,50,170,410,820,2410,3580,2680,2240,1010,980,980,770,450,250,50,30,20,0,0,0,0,0,0,0,450,280,30,1430,1060,750,120
96,21020,50,160,380,710,2090,3260,3060,2220,900,1000,990,790,500,320,100,30,10,20,0,0,0,0,0,0,580,290,20,1460,1140,770,170
98,21020,50,140,370,590,1790,3230,3030,2370,830,970,1020,890,500,360,170,30,10,20,0,0,0,0,0,0,630,330,20,1350,1250,810,260
100,21020,40,140,370,490,1490,3110,3090,2410,820,970,990,820,670,360,230,40,30,20,0,0,0,0,0,0,720,370,0,1270,1390,850,330
102,21020,40,120,330,500,1250,2810,3260,2340,880,900,980,860,740,400,250,80,30,10,20,0,0,0,0,0,680,460,40,1360,1270,1020,390
104,21020,30,120,340,380,1050,2640,3160,2520,820,930,920,910,730,440,320,160,30,10,20,0,0,0,0,0,670,540,30,1440,1310,1050,450
106,21020,30,120,310,340,930,2350,3050,2690,740,920,890,940,830,480,350,190,20,30,10,10,0,0,0,0,760,600,30,1400,1390,1050,560
