raceMinute,started,atMile0,atMile1,atMile2,atMile3,atMile4,atMile5,atMile6,atMile7,atMile8,atMile9,atMile10,atMile11,atMile12,atMile13,atMile14,atMile15,atMile16,atMile17,atMile18,atMile19,atMile20,atMile21,atMile22,atMile23,atMile24,atMile25,atMile26,atMile28,atMile29,atMile30,finished
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,530,530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1060,1060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1580,1550,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2650,2320,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,3720,2890,830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,4770,3440,1300,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,5420,3730,1590,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,6060,3650,1980,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,6710,3260,2630,790,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,7350,2950,3170,1160,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,7670,2720,3370,1390,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,7670,2060,3510,1590,480,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,8340,2100,3490,1840,860,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,9010,2160,3200,2460,1100,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,9670,2300,3080,2770,1200,290,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,10340,2720,2770,2920,1380,510,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,11000,3250,2330,3030,1500,820,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,11000,2870,2080,3000,1920,920,180,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,11000,2440,1900,2940,2270,1030,380,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,11000,1750,2100,2910,2460,1190,530,50,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,11000,1060,2440,2730,2520,1340,810,70,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,11000,470,2890,2350,2700,1460,850,240,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,11000,120,2940,2070,2640,1840,950,390,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
48,11000,40,2680,1830,2700,2020,1080,570,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0
50,11000,0,2270,1890,2620,2170,1160,710,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0
52,11000,0,1790,1980,2550,2230,1330,770,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,20,0,0
54,11000,0,1130,2360,2320,2380,1480,830,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,30,0,0
56,11000,0,700,2570,2000,2380,1660,1010,570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,40,0,0
58,11000,0,380,2580,1810,2440,1890,1020,580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,20,20,0
60,11000,0,250,2330,1820,2470,1870,1150,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,30,30,0
62,11000,0,140,2020,1830,2390,2030,1260,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440,50,40,0
64,11000,0,80,1680,1930,2270,2020,1420,880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,510,170,20,0
66,11000,0,20,1290,2130,1960,2180,1560,960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,580,270,30,0
68,11000,0,0,960,2170,1840,2190,1720,1040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,690,310,40,0
70,11000,0,0,600,2180,1810,2300,1710,1080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,740,450,90,0
72,11000,0,0,450,2050,1710,2270,1800,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,20,0,780,470,220,0
74,11000,0,0,320,1780,1880,2070,1800,1360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,40,0,890,560,270,0
76,11000,0,0,230,1530,1880,1870,2010,1530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,20,0,890,620,350,20
78,11000,0,0,170,1270,1950,1730,2030,1630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,20,0,930,680,430,20
80,11000,0,0,100,1060,1850,1750,2150,1550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,40,0,1060,730,440,30
