Mile,Minute,Runners
9,0,0
10,0,0
11,0,0
9,2,0
10,2,0
11,2,0
9,4,0
10,4,0
11,4,0
9,6,0
10,6,0
11,6,0
9,8,0
10,8,0
11,8,0
9,10,0
10,10,0
11,10,0
9,12,0
10,12,0
11,12,0
9,14,0
10,14,0
11,14,0
9,16,0
10,16,0
11,16,0
9,18,0
10,18,0
11,18,0
9,20,0
10,20,0
11,20,0
9,22,0
10,22,0
11,22,0
9,24,0
10,24,0
11,24,0
9,26,0
10,26,0
11,26,0
9,28,0
10,28,0
11,28,0
9,30,0
10,30,0
11,30,0
9,32,0
10,32,0
11,32,0
9,34,0
10,34,0
11,34,0
9,36,0
10,36,0
11,36,0
9,38,0
10,38,0
11,38,0
9,40,0
10,40,0
11,40,0
9,42,0
10,42,0
11,42,0
9,44,0
10,44,0
11,44,0
9,46,10
10,46,0
11,46,0
9,48,30
10,48,0
11,48,0
9,50,40
10,50,0
11,50,0
9,52,30
10,52,20
11,52,0
9,54,50
10,54,30
11,54,0
9,56,70
10,56,40
11,56,0
9,58,260
10,58,20
11,58,20
9,60,300
10,60,30
11,60,30
9,62,440
10,62,50
11,62,40
9,64,510
10,64,170
11,64,20
9,66,580
10,66,270
11,66,30
9,68,690
10,68,310
11,68,40
9,70,740
10,70,450
11,70,90
9,72,780
10,72,470
11,72,220
9,74,890
10,74,560
11,74,270
9,76,890
10,76,620
11,76,350
9,78,930
10,78,680
11,78,430
9,80,1060
10,80,730
11,80,440
9,82,1100
10,82,870
11,82,520
9,84,1340
10,84,850
11,84,590
9,86,1410
10,86,860
11,86,650
9,88,1480
10,88,930
11,88,670
9,90,1460
10,90,990
11,90,760
9,92,1430
10,92,1150
11,92,770
9,94,1410
10,94,1330
11,94,790
9,96,1630
10,96,1310
11,96,830
9,98,1780
10,98,1400
11,98,850
9,100,1860
10,100,1320
11,100,980
9,102,1930
10,102,1290
11,102,1110
9,104,1800
10,104,1280
11,104,1250
9,106,1830
10,106,1410
11,106,1270
9,108,1550
10,108,1590
11,108,1370
9,110,1480
10,110,1680
11,110,1240
9,112,1530
10,112,1760
11,112,1220
9,114,1530
10,114,1760
11,114,1160
9,116,1520
10,116,1690
11,116,1290
9,118,1410
10,118,1600
11,118,1430
9,120,1470
10,120,1430
11,120,1610
9,122,1420
10,122,1460
11,122,1640
9,124,1330
10,124,1510
11,124,1640
9,126,1320
10,126,1560
11,126,1510
9,128,1330
10,128,1450
11,128,1550
9,130,1340
10,130,1330
11,130,1470
9,132,1290
10,132,1350
11,132,1400
9,134,1210
10,134,1300
11,134,1370
9,136,1140
10,136,1310
11,136,1340
9,138,1010
10,138,1270
11,138,1440
9,140,920
10,140,1240
11,140,1400
9,142,900
10,142,1230
11,142,1260
9,144,850
10,144,1200
11,144,1210
9,146,720
10,146,1190
11,146,1200
9,148,670
10,148,1090
11,148,1200
9,150,540
10,150,1010
11,150,1220
9,152,530
10,152,880
11,152,1160
9,154,490
10,154,840
11,154,1150
9,156,390
10,156,840
11,156,1080
9,158,300
10,158,760
11,158,1130
9,160,280
10,160,680
11,160,1120
9,162,260
10,162,650
11,162,930
9,164,310
10,164,540
11,164,930
9,166,270
10,166,500
11,166,810
9,168,260
10,168,470
11,168,750
9,170,230
10,170,420
11,170,700
9,172,190
10,172,290
11,172,740
9,174,170
10,174,280
11,174,650
9,176,170
10,176,260
11,176,620
9,178,180
10,178,250
11,178,530
9,180,180
10,180,220
11,180,490
9,182,100
10,182,270
11,182,470
9,184,100
10,184,240
11,184,420
9,186,90
10,186,210
11,186,370
9,188,70
10,188,200
11,188,270
9,190,70
10,190,180
11,190,250
9,192,70
10,192,170
11,192,240
9,194,70
10,194,150
11,194,230
9,196,60
10,196,150
11,196,230
9,198,50
10,198,160
11,198,190
9,200,40
10,200,90
11,200,250
9,202,30
10,202,100
11,202,220
9,204,30
10,204,90
11,204,190
9,206,30
10,206,70
11,206,180
9,208,30
10,208,70
11,208,160
9,210,30
10,210,60
11,210,170
9,212,30
10,212,60
11,212,150
9,214,20
10,214,70
11,214,130
9,216,20
10,216,50
11,216,140
9,218,10
10,218,40
11,218,90
9,220,0
10,220,40
11,220,90
9,222,0
10,222,40
11,222,80
9,224,0
10,224,30
11,224,80
9,226,0
10,226,30
11,226,70
9,228,0
10,228,30
11,228,70
9,230,0
10,230,30
11,230,60
9,232,0
10,232,30
11,232,60
9,234,0
10,234,30
11,234,60
9,236,0
10,236,20
11,236,50
9,238,0
10,238,20
11,238,40
9,240,0
10,240,10
11,240,40
9,242,0
10,242,10
11,242,30
9,244,0
10,244,0
11,244,30
9,246,0
10,246,0
11,246,30
9,248,0
10,248,0
11,248,30
9,250,0
10,250,0
11,250,30
9,252,0
10,252,0
11,252,30
9,254,0
10,254,0
11,254,30
9,256,0
10,256,0
11,256,30
9,258,0
10,258,0
11,258,30
9,260,0
10,260,0
11,260,20
9,262,0
10,262,0
11,262,20
9,264,0
10,264,0
11,264,10
9,266,0
10,266,0
11,266,10
9,268,0
10,268,0
11,268,0
9,270,0
10,270,0
11,270,0
9,272,0
10,272,0
11,272,0
9,274,0
10,274,0
11,274,0
9,276,0
10,276,0
11,276,0
9,278,0
10,278,0
11,278,0
9,280,0
10,280,0
11,280,0
9,282,0
10,282,0
11,282,0
9,284,0
10,284,0
11,284,0
9,286,0
10,286,0
11,286,0
9,288,0
10,288,0
11,288,0
9,290,0
10,290,0
11,290,0
9,292,0
10,292,0
11,292,0
9,294,0
10,294,0
11,294,0
9,296,0
10,296,0
11,296,0
9,298,0
10,298,0
11,298,0
9,300,0
10,300,0
11,300,0
9,302,0
10,302,0
11,302,0
9,304,0
10,304,0
11,304,0
9,306,0
10,306,0
11,306,0
9,308,0
10,308,0
11,308,0
9,310,0
10,310,0
11,310,0
9,312,0
10,312,0
11,312,0
9,314,0
10,314,0
11,314,0
9,316,0
10,316,0
11,316,0
9,318,0
10,318,0
11,318,0
9,320,0
10,320,0
11,320,0
9,322,0
10,322,0
11,322,0
9,324,0
10,324,0
11,324,0
9,326,0
10,326,0
11,326,0
9,328,0
10,328,0
11,328,0
9,330,0
10,330,0
11,330,0
9,332,0
10,332,0
11,332,0
9,334,0
10,334,0
11,334,0
9,336,0
10,336,0
11,336,0
9,338,0
10,338,0
11,338,0
9,340,0
10,340,0
11,340,0
9,342,0
10,342,0
11,342,0
9,344,0
10,344,0
11,344,0
9,346,0
10,346,0
11,346,0
9,348,0
10,348,0
11,348,0
9,350,0
10,350,0
11,350,0
9,352,0
10,352,0
11,352,0
9,354,0
10,354,0
11,354,0
9,356,0
10,356,0
11,356,0
9,358,0
10,358,0
11,358,0
9,360,0
10,360,0
11,360,0
9,362,0
10,362,0
11,362,0
9,364,0
10,364,0
11,364,0
9,366,0
10,366,0
11,366,0
9,368,0
10,368,0
11,368,0
9,370,0
10,370,0
11,370,0
9,372,0
10,372,0
11,372,0
9,374,0
10,374,0
11,374,0
9,376,0
10,376,0
11,376,0
9,378,0
10,378,0
11,378,0
9,380,0
10,380,0
11,380,0
9,382,0
10,382,0
11,382,0
9,384,0
10,384,0
11,384,0
9,386,0
10,386,0
11,386,0
9,388,0
10,388,0
11,388,0
9,390,0
10,390,0
11,390,0
9,392,0
10,392,0
11,392,0
9,394,0
10,394,0
11,394,0
9,396,0
10,396,0
11,396,0
9,398,0
10,398,0
11,398,0
9,400,0
10,400,0
11,400,0
9,402,0
10,402,0
11,402,0
9,404,0
10,404,0
11,404,0
9,406,0
10,406,0
11,406,0
9,408,0
10,408,0
11,408,0
9,410,0
10,410,0
11,410,0
9,412,0
10,412,0
11,412,0
9,414,0
10,414,0
11,414,0
9,416,0
10,416,0
11,416,0
9,418,0
10,418,0
11,418,0
9,420,0
10,420,0
11,420,0
9,422,0
10,422,0
11,422,0
9,424,0
10,424,0
11,424,0
9,426,0
10,426,0
11,426,0
9,428,0
10,428,0
11,428,0
9,430,0
10,430,0
11,430,0
9,432,0
10,432,0
11,432,0
9,434,0
10,434,0
11,434,0
9,436,0
10,436,0
11,436,0
9,438,0
10,438,0
11,438,0
9,440,0
10,440,0
11,440,0
9,442,0
10,442,0
11,442,0
9,444,0
10,444,0
11,444,0
9,446,0
10,446,0
11,446,0
9,448,0
10,448,0
11,448,0
9,450,0
10,450,0
11,450,0
9,452,0
10,452,0
11,452,0
9,454,0
10,454,0
11,454,0
9,456,0
10,456,0
11,456,0
9,458,0
10,458,0
11,458,0
9,460,0
10,460,0
11,460,0
9,462,0
10,462,0
11,462,0
9,464,0
10,464,0
11,464,0
9,466,0
10,466,0
11,466,0
9,468,0
10,468,0
11,468,0
9,470,0
10,470,0
11,470,0
9,472,0
10,472,0
11,472,0
9,474,0
10,474,0
11,474,0
9,476,0
10,476,0
11,476,0
9,478,0
10,478,0
11,478,0
9,480,0
10,480,0
11,480,0
9,482,0
10,482,0
11,482,0
9,484,0
10,484,0
11,484,0
9,486,0
10,486,0
11,486,0
9,488,0
10,488,0
11,488,0
9,490,0
10,490,0
11,490,0
9,492,0
10,492,0
11,492,0
9,494,0
10,494,0
11,494,0
9,496,0
10,496,0
11,496,0
9,498,0
10,498,0
11,498,0
9,500,0
10,500,0
11,500,0
