Name,Latitude,Longitude
Mile 21,29.765118,-95.43827
Path 281,29.765067,-95.439434
Path 282,29.765048,-95.439037
Path 283,29.765048,-95.438168
Path 284,29.765132,-95.43746
Path 285,29.765057,-95.434713
Path 286,29.765029,-95.434231
Path 287,29.764918,-95.433308
Path 288,29.764731,-95.432514
Path 289,29.764582,-95.431924
Path 290,29.764107,-95.430422
Path 291,29.763912,-95.42995
Path 292,29.763688,-95.429392
Path 293,29.763502,-95.428823
Path 294,29.763437,-95.428233
Path 295,29.7634,-95.427589
Path 296,29.763418,-95.427117
Path 297,29.763418,-95.426141
Path 298,29.763372,-95.425712
Path 299,29.76325,-95.425208
Path 300,29.762924,-95.424746
Path 301,29.762673,-95.424446
Path 302,29.762245,-95.424017
Path 303,29.761928,-95.423663
Path 304,29.761611,-95.423276
Path 305,29.761462,-95.422794
Mile 22,29.761439,-95.422617
