raceMinute,started,atMile0,atMile1,atMile2,atMile3,atMile4,atMile5,atMile6,atMile7,atMile8,atMile9,atMile10,atMile11,atMile12,atMile13,atMile14,atMile15,atMile16,atMile17,atMile18,atMile19,atMile20,atMile21,atMile22,atMile23,atMile24,atMile25,atMile26,atMile9H,atMile10H,atMile11H,finished
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1470,1470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2930,2930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,4370,4300,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,5810,5030,780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,7250,5120,2130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,8660,5250,3340,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,9740,5350,4130,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,10800,5280,4480,1030,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,11880,4930,4870,2000,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,12940,4710,5220,2830,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,13470,4330,5190,3370,550,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,13470,3340,5210,3680,1160,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,14380,3150,5300,3790,1990,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,15290,3060,5050,4310,2600,240,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,16190,3140,4900,4480,2820,760,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,17100,3680,4380,4560,3050,1270,150,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,18000,4410,3680,4510,3290,1900,170,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,18000,3800,3190,4680,3630,2120,480,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,18000,3160,2830,4780,3800,2370,910,140,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,18000,2200,3020,4700,3900,2660,1330,140,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,18000,1280,3500,4270,4040,2760,1810,240,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,18000,540,3970,3740,4070,3060,1850,620,130,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,18000,120,3970,3120,4240,3300,2090,980,130,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,18000,40,3490,2760,4410,3370,2310,1360,160,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,18000,0,2840,2810,4300,3500,2420,1590,390,110,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,18000,0,2110,3000,4060,3610,2630,1690,720,120,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0
54,18000,0,1320,3380,3710,3610,2910,1790,1050,130,60,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0
56,18000,0,770,3550,3140,3840,2940,2090,1310,210,70,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0
58,18000,0,410,3440,2710,4100,3100,2120,1390,570,80,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,0,0
60,18000,0,250,3050,2690,4060,3100,2290,1560,810,60,60,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0,0
62,18000,0,140,2490,2770,3830,3290,2480,1670,1040,100,60,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,40,0,0
64,18000,0,80,1960,2920,3610,3210,2650,1840,1180,230,70,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,20,20,0
66,18000,0,20,1490,3060,3070,3530,2790,1890,1320,380,40,70,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,30,20,0
68,18000,0,0,1070,3010,2840,3640,2870,2070,1430,490,90,60,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,40,40,0
