raceMinute,started,atMile0,atMile1,atMile2,atMile3,atMile4,atMile5,atMile6,atMile7,atMile8,atMile9,atMile10,atMile11,atMile12,atMile13,atMile14,finished
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,42,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,84,840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,125,1250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,225,1980,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,325,2560,690,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,423,3170,1060,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,455,3240,1210,100,0,0,0,0,0,0,0,0,0,0,0,0,0
16,487,2820,1690,360,0,0,0,0,0,0,0,0,0,0,0,0,0
18,518,2240,2250,690,0,0,0,0,0,0,0,0,0,0,0,0,0
20,550,1690,2820,960,30,0,0,0,0,0,0,0,0,0,0,0,0
22,565,1410,2990,1050,200,0,0,0,0,0,0,0,0,0,0,0,0
24,565,1040,2930,1250,430,0,0,0,0,0,0,0,0,0,0,0,0
26,606,1110,2510,1790,630,20,0,0,0,0,0,0,0,0,0,0,0
28,647,1220,2130,2160,840,120,0,0,0,0,0,0,0,0,0,0,0
30,688,1440,1740,2520,900,280,0,0,0,0,0,0,0,0,0,0,0
32,821,2610,1510,2600,1020,460,10,0,0,0,0,0,0,0,0,0,0
34,953,3840,1240,2330,1470,570,80,0,0,0,0,0,0,0,0,0,0
36,1045,4540,1080,2160,1710,760,200,0,0,0,0,0,0,0,0,0,0
38,1137,5080,1180,1910,2050,800,340,10,0,0,0,0,0,0,0,0,0
40,1228,5440,1510,1760,2160,900,450,60,0,0,0,0,0,0,0,0,0
42,1228,4610,2200,1500,2130,1160,550,130,0,0,0,0,0,0,0,0,0
44,1228,3560,3110,1280,2010,1410,660,240,10,0,0,0,0,0,0,0,0
46,1228,2610,3860,1050,1960,1710,690,360,40,0,0,0,0,0,0,0,0
48,1228,1600,4580,1120,1770,1880,810,420,100,0,0,0,0,0,0,0,0
50,1228,810,4940,1370,1650,1860,960,500,180,10,0,0,0,0,0,0,0
52,1228,310,4880,1750,1460,1780,1210,580,270,40,0,0,0,0,0,0,0
54,1228,130,4250,2370,1350,1660,1480,610,360,70,0,0,0,0,0,0,0
56,1228,30,3480,3100,1060,1760,1610,690,420,130,0,0,0,0,0,0,0
58,1228,10,2760,3550,1170,1590,1650,840,480,200,30,0,0,0,0,0,0
60,1228,0,1870,4090,1290,1550,1620,980,550,260,70,0,0,0,0,0,0
62,1228,0,1350,4120,1620,1400,1480,1300,560,340,100,10,0,0,0,0,0
64,1228,0,800,4130,2000,1160,1530,1450,630,400,150,30,0,0,0,0,0
66,1228,0,490,3700,2530,1140,1500,1490,690,460,220,60,0,0,0,0,0
68,1228,0,280,3190,2960,1170,1480,1430,880,510,300,70,10,0,0,0,0
70,1228,0,170,2710,3260,1250,1460,1430,1010,530,330,100,30,0,0,0,0
72,1228,0,110,2050,3520,1530,1310,1340,1260,580,350,180,50,0,0,0,0
74,1228,0,50,1670,3520,1860,1090,1360,1390,590,450,230,60,10,0,0,0
76,1228,0,40,1300,3410,2070,1100,1410,1310,750,490,290,90,20,0,0,0
78,1228,0,30,850,3240,2430,1190,1340,1330,890,510,290,140,40,0,0,0
80,1228,0,30,610,2920,2710,1240,1300,1310,1060,510,340,190,50,10,0,0
82,1228,0,0,440,2590,2850,1420,1230,1220,1240,530,440,240,60,10,0,1
84,1228,0,0,300,2170,3010,1650,1160,1230,1240,650,450,280,100,0,0,4
86,1228,0,0,230,1770,3130,1810,1060,1330,1180,780,500,270,160,0,0,6
88,1228,0,0,170,1530,2850,2220,1080,1250,1230,880,470,320,200,10,0,7
90,1228,0,0,120,1230,2720,2330,1300,1210,1050,1100,450,420,240,10,0,10
92,1228,0,0,90,930,2610,2510,1300,1120,1140,1160,580,420,270,10,0,14
94,1228,0,0,60,730,2320,2610,1510,1140,1150,1090,690,470,270,30,0,21
96,1228,0,0,50,500,2160,2660,1600,1170,1190,1110,820,400,320,30,0,27
98,1228,0,0,30,420,1790,2740,1890,1040,1220,1090,890,400,410,30,0,33
100,1228,0,0,30,320,1590,2590,2020,1240,1160,910,1100,480,420,10,0,41
102,1228,0,0,30,230,1400,2470,2260,1190,1030,1060,1070,560,460,50,0,47
104,1228,0,0,30,190,1180,2290,2250,1360,1110,1090,1020,760,380,60,0,56
106,1228,0,0,0,170,990,2130,2320,1490,1150,1070,1050,780,360,40,0,73
108,1228,0,0,0,130,780,2040,2400,1540,1120,1120,960,880,450,60,0,80
110,1228,0,0,0,90,610,1800,2450,1780,1120,1100,870,1000,480,70,0,91
112,1228,0,0,0,80,460,1620,2290,2030,1210,960,1000,950,680,0,0,100
114,1228,0,0,0,60,390,1460,2240,2040,1240,1020,1020,1010,710,70,0,102
116,1228,0,0,0,60,290,1330,2110,2100,1320,1110,980,980,760,90,0,115
118,1228,0,0,0,40,240,1180,1920,2130,1550,1050,1060,870,880,70,0,129
120,1228,0,0,0,30,230,990,1840,2150,1580,1110,1020,820,940,100,0,147
122,1228,0,0,0,30,200,810,1760,2110,1690,1160,970,900,910,110,0,163
124,1228,0,0,0,30,150,680,1490,2160,1850,1200,950,930,980,90,0,177
126,1228,0,0,0,30,110,540,1480,2040,1890,1270,1010,950,900,90,0,197
128,1228,0,0,0,30,80,430,1370,1960,1950,1300,1090,970,790,110,0,220
130,1228,0,0,0,20,70,390,1200,1790,2070,1420,1050,930,810,110,0,242
132,1228,0,0,0,0,80,290,1170,1690,2000,1530,1050,970,830,70,0,260
134,1228,0,0,0,0,70,260,990,1670,1870,1640,1160,910,860,150,0,270
