Event,Corral,Min
Start,A,0
5K,A,26.7995
10K,A,53.599
15K,A,80.3985
20K,A,107.198
Half,A,113.2495
25K,A,133.9975
30K,A,160.797
35K,A,187.5965
40K,A,214.396
Finish,A,226.499
Start,B,0
5K,B,28.675
10K,B,57.35
15K,B,86.025
20K,B,114.7
Half,B,121.175
25K,B,143.375
30K,B,172.05
35K,B,200.725
40K,B,229.4
Finish,B,242.35
Start,C,0
5K,C,30.74166667
10K,C,61.48333333
15K,C,92.225
20K,C,122.9666667
Half,C,129.9083333
25K,C,153.7083333
30K,C,184.45
35K,C,215.1916667
40K,C,245.9333333
Finish,C,259.8166667
Start,D,0
5K,D,35.39166667
10K,D,70.78333333
15K,D,106.175
20K,D,141.5666667
Half,D,149.5583333
25K,D,176.9583333
30K,D,212.35
35K,D,247.7416667
40K,D,283.1333333
Finish,D,299.1166667
Start,E,0
5K,E,46.5
10K,E,93
15K,E,139.5
20K,E,186
Half,E,196.5
25K,E,232.5
30K,E,279
35K,E,325.5
40K,E,372
Finish,E,393
