minute	segment	total
-22	0	700
-20	0	700
-18	0	700
-16	0	700
-14	0	700
-12	0	700
-10	0	700
-8	0	700
-6	0	700
-4	0	700
-2	0	700
0	0	700
2	0	700
4	0	700
6	0	700
8	0	700
10	0	700
12	0	700
14	0	700
16	0	700
18	0	696
18	1	4
20	0	691
20	1	9
22	0	679
22	1	21
24	0	643
24	1	57
26	0	591
26	1	109
28	0	550
28	1	150
30	0	509
30	1	191
32	0	466
32	1	234
34	0	426
34	1	273
34	2	1
36	0	386
36	1	310
36	2	4
38	0	363
38	1	330
38	2	7
40	0	329
40	1	359
40	2	12
42	0	303
42	1	383
42	2	14
44	0	268
44	1	403
44	2	29
46	0	231
46	1	417
46	2	52
48	0	192
48	1	433
48	2	75
50	0	158
50	1	443
50	2	98
50	3	1
52	0	141
52	1	431
52	2	124
52	3	4
54	0	126
54	1	425
54	2	145
54	3	4
56	0	118
56	1	404
56	2	171
56	3	7
58	0	100
58	1	391
58	2	198
58	3	11
60	0	80
60	1	386
60	2	222
60	3	12
62	0	63
62	1	376
62	2	248
62	3	13
64	0	39
64	1	371
64	2	270
64	3	20
66	0	24
66	1	355
66	2	291
66	3	30
68	0	16
68	1	345
68	2	292
68	3	45
68	4	2
70	0	5
70	1	337
70	2	293
70	3	61
70	4	4
72	0	3
72	1	317
72	2	302
72	3	74
72	4	4
74	0	2
74	1	285
74	2	312
74	3	93
74	4	8
76	1	264
76	2	320
76	3	106
76	4	10
78	1	239
78	2	323
78	3	127
78	4	11
80	1	210
80	2	339
80	3	139
80	4	12
82	1	183
82	2	346
82	3	158
82	4	13
84	1	167
84	2	344
84	3	172
84	4	17
86	1	149
86	2	342
86	3	186
86	4	21
86	5	2
88	1	130
88	2	345
88	3	194
88	4	27
88	5	4
90	1	114
90	2	332
90	3	210
90	4	40
90	5	4
92	1	102
92	2	325
92	3	219
92	4	46
92	5	8
94	1	84
94	2	324
94	3	222
94	4	61
94	5	9
96	1	69
96	2	318
96	3	235
96	4	68
96	5	10
98	1	57
98	2	310
98	3	240
98	4	82
98	5	11
100	1	47
100	2	302
100	3	238
100	4	102
100	5	11
102	1	35
102	2	299
102	3	240
102	4	113
102	5	12
102	6	1
104	1	26
104	2	282
104	3	251
104	4	126
104	5	13
104	6	2
106	1	20
106	2	264
106	3	267
106	4	130
106	5	15
106	6	4
108	1	18
108	2	247
108	3	268
108	4	144
108	5	19
108	6	4
110	1	11
110	2	239
110	3	271
110	4	151
110	5	22
110	6	6
112	1	7
112	2	219
112	3	281
112	4	155
112	5	29
112	6	9
114	1	5
114	2	197
114	3	295
114	4	155
114	5	38
114	6	10
116	1	4
116	2	180
116	3	292
116	4	164
116	5	50
116	6	10
118	1	4
118	2	164
118	3	289
118	4	173
118	5	59
118	6	11
120	2	156
120	3	289
120	4	178
120	5	66
120	6	9
120	7	2
122	2	137
122	3	288
122	4	185
122	5	77
122	6	11
122	7	2
124	2	129
124	3	280
124	4	191
124	5	85
124	6	11
124	7	4
126	2	116
126	3	278
126	4	190
126	5	99
126	6	13
126	7	4
128	2	96
128	3	280
128	4	193
128	5	112
128	6	13
128	7	6
130	2	89
130	3	270
130	4	201
130	5	117
130	6	15
130	7	8
132	2	76
132	3	268
132	4	209
132	5	121
132	6	17
132	7	9
134	2	67
134	3	259
134	4	213
134	5	127
134	6	24
134	7	10
136	2	55
136	3	252
136	4	222
136	5	128
136	6	33
136	7	10
138	2	45
138	3	247
138	4	228
138	5	131
138	6	39
138	7	8
138	8	2
140	2	34
140	3	237
140	4	235
140	5	134
140	6	49
140	7	9
140	8	2
142	2	29
142	3	229
142	4	240
142	5	135
142	6	55
142	7	8
142	8	4
144	2	23
144	3	216
144	4	247
144	5	139
144	6	61
144	7	10
144	8	4
146	2	22
146	3	201
146	4	243
146	5	151
146	6	67
146	7	11
146	8	5
148	2	18
148	3	182
148	4	256
148	5	150
148	6	77
148	7	9
148	8	8
150	2	14
150	3	172
150	4	260
150	5	150
150	6	85
150	7	10
150	8	9
152	2	11
152	3	164
152	4	254
152	5	154
152	6	94
152	7	14
152	8	9
154	2	10
154	3	151
154	4	251
154	5	157
154	6	105
154	7	16
154	8	10
156	2	8
156	3	141
156	4	250
156	5	165
156	6	104
156	7	22
156	8	10
158	2	7
158	3	131
158	4	248
158	5	168
158	6	108
158	7	28
158	8	10
160	2	6
160	3	120
160	4	247
160	5	174
160	6	107
160	7	35
160	8	11
162	2	5
162	3	112
162	4	243
162	5	177
162	6	112
162	7	40
162	8	11
164	2	5
164	3	99
164	4	239
164	5	186
164	6	112
164	7	47
164	8	12
166	2	2
166	3	96
166	4	231
166	5	191
166	6	115
166	7	50
166	8	15
168	2	2
168	3	81
168	4	228
168	5	198
168	6	118
168	7	57
168	8	16
170	2	2
170	3	75
170	4	214
170	5	211
170	6	119
170	7	62
170	8	17
172	2	1
172	3	67
172	4	213
172	5	210
172	6	122
172	7	68
172	8	19
174	2	1
174	3	61
174	4	204
174	5	211
174	6	126
174	7	74
174	8	23
176	2	1
176	3	52
176	4	199
176	5	214
176	6	130
176	7	78
176	8	26
178	2	1
178	3	44
178	4	197
178	5	213
178	6	130
178	7	87
178	8	28
180	2	1
180	3	34
180	4	192
180	5	219
180	6	126
180	7	94
180	8	34
182	3	32
182	4	180
182	5	224
182	6	130
182	7	96
182	8	38
184	3	27
184	4	170
184	5	223
184	6	141
184	7	94
184	8	45
186	3	23
186	4	160
186	5	224
186	6	145
186	7	97
186	8	51
188	3	22
188	4	149
188	5	223
188	6	152
188	7	98
188	8	56
190	3	18
190	4	141
190	5	229
190	6	150
190	7	99
190	8	63
192	3	15
192	4	134
192	5	227
192	6	154
192	7	100
192	8	70
194	3	14
