minute	segment	total
-22	0	1100
-20	0	1100
-18	0	1100
-16	0	1100
-14	0	1100
-12	0	1100
-10	0	1100
-8	0	1100
-6	0	1100
-4	0	1100
-2	0	1100
0	0	1100
2	0	1100
4	0	1100
6	0	1100
8	0	1100
10	0	1100
12	0	1100
14	0	1100
16	0	1100
18	0	1098
18	1	2
20	0	1096
20	1	4
22	0	1088
22	1	12
24	0	1062
24	1	38
26	0	1029
26	1	71
28	0	998
28	1	102
30	0	968
30	1	132
32	0	933
32	1	167
34	0	880
34	1	220
36	0	830
36	1	268
36	2	2
38	0	762
38	1	334
38	2	4
40	0	705
40	1	391
40	2	4
42	0	649
42	1	444
42	2	7
44	0	599
44	1	484
44	2	17
46	0	546
46	1	520
46	2	34
48	0	487
48	1	565
48	2	48
50	0	436
50	1	590
50	2	74
52	0	399
52	1	609
52	2	92
54	0	365
54	1	620
54	2	113
54	3	2
56	0	339
56	1	623
56	2	135
56	3	3
58	0	311
58	1	619
58	2	166
58	3	4
60	0	277
60	1	633
60	2	186
60	3	4
62	0	243
62	1	630
62	2	221
62	3	6
64	0	197
64	1	641
64	2	253
64	3	9
66	0	161
66	1	638
66	2	284
66	3	17
68	0	121
68	1	640
68	2	307
68	3	32
70	0	81
70	1	635
70	2	347
70	3	37
72	0	53
72	1	639
72	2	355
72	3	51
72	4	2
74	0	40
74	1	615
74	2	377
74	3	66
74	4	2
76	0	30
76	1	585
76	2	400
76	3	82
76	4	3
78	0	23
78	1	536
78	2	442
78	3	95
78	4	4
80	0	17
80	1	499
80	2	463
80	3	117
80	4	4
82	0	10
82	1	473
82	2	478
82	3	134
82	4	5
84	0	6
84	1	445
84	2	488
84	3	153
84	4	8
86	0	4
86	1	412
86	2	503
86	3	172
86	4	9
88	0	2
88	1	394
88	2	502
88	3	183
88	4	19
90	0	1
90	1	370
90	2	504
90	3	196
90	4	29
92	1	334
92	2	517
92	3	216
92	4	33
94	1	295
94	2	529
94	3	235
94	4	41
96	1	276
96	2	515
96	3	249
96	4	60
98	1	248
98	2	508
98	3	281
98	4	63
100	1	226
100	2	506
100	3	288
100	4	80
102	1	195
102	2	509
102	3	304
102	4	92
104	1	165
104	2	520
104	3	309
104	4	106
106	1	145
106	2	516
106	3	316
106	4	123
108	1	123
108	2	498
108	3	337
108	4	142
110	1	107
110	2	478
110	3	361
110	4	154
112	1	88
112	2	457
112	3	385
112	4	170
114	1	77
114	2	445
114	3	391
114	4	187
116	1	60
116	2	430
116	3	408
116	4	202
118	1	48
118	2	417
118	3	415
118	4	220
120	1	43
120	2	395
120	3	423
120	4	239
122	1	39
122	2	371
122	3	428
122	4	262
124	1	34
124	2	353
124	3	424
124	4	289
126	1	28
126	2	334
126	3	423
126	4	315
128	1	24
128	2	310
128	3	427
128	4	339
130	1	21
130	2	285
130	3	439
130	4	355
132	1	19
132	2	271
132	3	431
132	4	379
134	1	13
134	2	261
134	3	429
134	4	397
136	1	11
136	2	238
136	3	436
136	4	415
138	1	10
138	2	224
138	3	430
138	4	436
140	1	9
140	2	200
140	3	429
140	4	462
142	1	6
142	2	184
142	3	417
142	4	493
144	1	4
144	2	167
144	3	414
144	4	515
146	1	3
146	2	151
146	3	401
146	4	545
148	1	3
148	2	137
148	3	386
148	4	574
150	1	3
150	2	118
150	3	378
150	4	601
152	1	3
152	2	109
152	3	369
152	4	619
154	1	2
154	2	98
154	3	358
154	4	642
156	1	1
156	2	88
156	3	350
156	4	661
158	2	84
158	3	327
158	4	689
160	2	74
160	3	317
160	4	709
162	2	57
162	3	307
162	4	736
164	2	51
164	3	295
164	4	754
166	2	50
166	3	282
166	4	768
168	2	46
168	3	269
168	4	785
170	2	42
170	3	252
170	4	806
172	2	38
172	3	239
172	4	823
174	2	35
174	3	224
174	4	841
176	2	30
176	3	216
176	4	854
178	2	28
